NodeID,Pop@86400,Pop@172800,Pop@259200,Pop@345600,Pop@432000,Pop@518400,Pop@604800
A0,0,0,0,0,0,0,0
A1,0,0,7,10,10,10,15
A2,5,9,10,14,14,14,14
A3,0,0,0,0,0,0,1
A4,6,11,12,15,15,15,17
A5,0,10,17,20,20,20,23
A6,12,12,17,22,22,22,26
A7,18,22,28,29,29,29,30
A8,0,0,0,0,0,0,0
A9,0,3,3,11,11,14,17
A10,0,0,0,0,0,0,1
A11,0,0,0,0,0,0,6
A12,0,0,0,0,0,0,2
A13,19,20,21,21,21,21,21
A14,8,16,19,25,25,25,26
A15,10,19,25,27,27,28,32
A16,0,0,0,0,0,0,6
A17,9,9,14,15,15,15,15
A18,0,0,0,0,0,0,2
A19,0,0,0,0,0,0,3
A20,3,6,7,8,8,9,12
A21,0,0,0,0,0,0,4
A22,0,0,0,0,0,0,2
A23,0,0,0,0,0,0,1
A24,0,0,0,0,0,0,0
A25,0,0,0,0,0,0,1
A26,2,5,6,9,9,9,10
A27,0,0,0,0,0,0,4
A28,25,32,35,36,36,37,86
A29,0,0,0,0,0,0,1
A30,0,0,0,0,0,0,3
A31,0,0,0,0,0,0,1
A32,0,0,0,0,0,0,2
A33,0,0,0,0,0,0,2
A34,0,0,0,0,0,0,2
A35,0,0,0,0,0,0,1
A36,0,0,0,0,0,0,3
A37,0,0,0,0,0,0,1
A38,21,27,30,32,32,32,34
A39,0,0,0,0,0,0,1
A40,0,0,0,0,0,0,4
A41,11,12,15,15,15,15,16
A42,13,16,22,22,23,23,23
A43,0,0,0,0,0,0,2
A44,0,0,0,0,0,0,2
A45,0,0,0,0,0,0,1
A46,0,0,0,0,0,0,4
A47,0,0,0,0,0,0,1
A48,0,0,0,0,0,0,1
A49,0,0,0,0,0,0,4
A50,0,0,0,0,0,0,2
A51,0,0,0,0,0,0,3
A52,0,0,0,0,0,0,2
A53,0,0,0,0,0,0,24
A54,0,0,0,0,0,0,2
A55,0,0,0,0,0,0,2
A56,21,24,28,29,29,29,44
A57,5,7,8,9,9,9,9
A58,14,14,24,25,25,25,25
A59,0,0,0,0,0,0,1
A60,0,0,0,0,0,0,2
A61,1,3,3,3,4,6,7
A62,0,3,16,22,22,22,23
A63,0,0,0,0,0,0,0
A64,0,0,0,0,0,0,1
A65,0,0,0,0,0,0,1
A66,0,0,0,0,0,0,5
A67,0,2,4,7,7,7,7
A68,3,3,3,3,3,3,3
A69,0,4,6,11,11,11,11
A70,12,20,22,25,25,25,27
A71,0,0,0,0,0,0,1
A72,0,0,0,0,0,0,1
A73,0,0,0,0,0,0,1
A74,0,0,0,0,0,0,2
A75,0,0,0,0,0,0,2
A76,0,0,0,0,0,0,2
A77,11,14,19,19,20,22,25
A78,0,0,0,0,0,0,4
A79,2,2,20,22,22,22,25
A80,18,21,24,25,25,25,26
A81,0,0,0,0,0,0,2
A82,11,15,19,20,20,20,23
A83,0,0,0,0,0,0,0
A84,6,7,14,22,22,23,23
A85,19,21,22,24,24,25,45
A86,0,0,0,0,0,0,2
A87,0,0,0,0,0,0,0
A88,17,17,19,22,22,22,26
A89,0,0,0,0,0,0,0
A90,0,9,14,18,18,18,22
A91,0,0,0,0,0,0,4
A92,0,0,0,0,0,0,1
A93,0,0,2,11,11,11,17
A94,19,26,29,29,29,29,29
A95,17,19,26,28,28,28,30
A96,8,10,18,21,22,22,22
